Gender,calories_day,weight
1,3.0,155.0
1,2.0,190.0
1,3.0,190.0
2,3.0,180.0
1,3.0,137.0
1,3.0,125.0
1,3.0,116.0
1,4.0,110.0
2,3.0,264.0
1,3.0,123.0
2,3.0,185.0
1,3.0,145.0
2,3.0,170.0
1,3.0,135.0
2,2.0,165.0
2,3.0,175.0
2,3.0,195.0
2,3.0,185.0
2,3.0,185.0
1,2.0,105.0
1,3.0,125.0
2,2.0,160.0
2,4.0,175.0
2,2.0,180.0
2,2.0,167.0
1,3.0,115.0
2,3.0,205.0
1,3.0,128.0
1,3.0,150.0
1,2.0,150.0
1,3.0,150.0
1,4.0,170.0
1,3.0,150.0
2,3.0,140.0
1,4.0,120.0
1,3.0,135.0
1,2.0,100.0
1,4.0,170.0
1,3.0,113.0
2,2.0,168.0
2,3.0,150.0
2,3.0,169.0
2,4.0,185.0
2,4.0,200.0
2,3.0,165.0
1,2.0,192.0
2,4.0,175.0
1,4.0,140.0
1,3.0,155.0
1,4.0,135.0
1,2.0,118.0
2,4.0,210.0
1,4.0,180.0
1,3.0,140.0
1,3.0,125.0
1,3.0,145.0
1,4.0,130.0
1,3.0,140.0
2,3.0,140.0
2,4.0,200.0
1,3.0,120.0
1,3.0,150.0
2,2.0,200.0
1,3.0,135.0
2,3.0,145.0
1,2.0,130.0
1,3.0,190.0
1,3.0,127.0
1,3.0,167.0
1,3.0,140.0
1,3.0,190.0
2,3.0,155.0
2,4.0,175.0
1,3.0,129.0
2,4.0,260.0
1,2.0,135.0
2,3.0,175.0
2,3.0,210.0
1,3.0,155.0
2,3.0,185.0
1,4.0,165.0
1,3.0,125.0
1,4.0,135.0
1,3.0,130.0
1,3.0,230.0
1,3.0,125.0
1,3.0,130.0
1,3.0,165.0
1,2.0,128.0
1,3.0,200.0
1,3.0,160.0
2,2.0,170.0
1,4.0,129.0
1,2.0,170.0
2,3.0,138.0
2,4.0,150.0
1,3.0,140.0
2,3.0,185.0
1,4.0,156.0
1,2.0,180.0
2,4.0,135.0
